Date,Region_Name,Area_Code,Index_SA
1997-07-01,North East,E12000001,28.2
1997-07-01,South West,E12000009,19
1997-07-01,South East,E12000008,19.5
1997-07-01,Yorkshire and The Humber,E12000003,22.8
1997-07-01,West Midlands Region,E12000005,21.6
1997-07-01,East Midlands,E12000004,20.2
1997-07-01,East of England,E12000006,18.4
1997-07-01,England and Wales,K04000001,19.6
1997-08-01,England,E92000001,19.7
1997-08-01,Wales,W92000004,21.4
1997-08-01,North East,E12000001,27.6
1997-08-01,East Midlands,E12000004,20.3
1997-08-01,North West,E12000002,21.7
1997-08-01,Yorkshire and The Humber,E12000003,22.9
1997-08-01,London,E12000007,17.1
1997-08-01,West Midlands Region,E12000005,21.8
1997-08-01,East of England,E12000006,18.5
1997-08-01,South West,E12000009,19.2
1997-08-01,South East,E12000008,19.8
1997-08-01,England and Wales,K04000001,19.8
1997-09-01,England,E92000001,19.9
1997-09-01,Wales,W92000004,21.4
1997-09-01,London,E12000007,17.5
1997-09-01,East of England,E12000006,18.7
1997-09-01,South West,E12000009,19.4
1997-09-01,West Midlands Region,E12000005,21.9
1997-09-01,East Midlands,E12000004,20.4
1997-09-01,North East,E12000001,27.3
1997-09-01,Yorkshire and The Humber,E12000003,23
1997-09-01,South East,E12000008,20.1
1997-09-01,North West,E12000002,21.8
1997-09-01,England and Wales,K04000001,19.9
1997-10-01,Wales,W92000004,21.5
1997-10-01,England,E92000001,20
1997-10-01,South West,E12000009,19.5
1997-10-01,East Midlands,E12000004,20.5
1997-10-01,East of England,E12000006,19.1
1997-10-01,West Midlands Region,E12000005,21.7
1997-10-01,South East,E12000008,20.4
1997-10-01,London,E12000007,17.7
1997-10-01,Yorkshire and The Humber,E12000003,22.9
1997-10-01,North West,E12000002,21.7
1997-10-01,North East,E12000001,27.6
1997-10-01,England and Wales,K04000001,20.1
1997-11-01,England,E92000001,20.2
1997-11-01,Wales,W92000004,21.5
1997-11-01,East of England,E12000006,19
1997-11-01,South East,E12000008,20.7
1997-11-01,East Midlands,E12000004,20.6
1997-11-01,North West,E12000002,21.9
1997-11-01,South West,E12000009,19.8
1997-11-01,North East,E12000001,27.7
1997-11-01,West Midlands Region,E12000005,22
1997-11-01,Yorkshire and The Humber,E12000003,23
1997-11-01,London,E12000007,17.9
1997-11-01,England and Wales,K04000001,20.2
1997-12-01,Wales,W92000004,21.6
1997-12-01,England,E92000001,20.2
1997-12-01,North West,E12000002,21.7
1997-12-01,South East,E12000008,20.7
1997-12-01,Yorkshire and The Humber,E12000003,22.8
1997-12-01,West Midlands Region,E12000005,22.3
1997-12-01,London,E12000007,18.3
1997-12-01,East Midlands,E12000004,20.5
1997-12-01,North East,E12000001,27.8
1997-12-01,South West,E12000009,19.9
1997-12-01,East of England,E12000006,19.2
1997-12-01,England and Wales,K04000001,20.3
1998-01-01,England,E92000001,20.6
1998-01-01,Wales,W92000004,21.7
1998-01-01,London,E12000007,18.4
1998-01-01,South East,E12000008,20.9
1998-01-01,South West,E12000009,20.1
1998-01-01,East Midlands,E12000004,21
1998-01-01,West Midlands Region,E12000005,22.4
1998-01-01,East of England,E12000006,19.6
1998-01-01,North West,E12000002,22.1
1998-01-01,North East,E12000001,28.2
1998-01-01,Yorkshire and The Humber,E12000003,23.3
1998-01-01,England and Wales,K04000001,20.6
1998-02-01,Wales,W92000004,21.7
1998-02-01,England,E92000001,20.7
1998-02-01,South East,E12000008,21.2
1998-02-01,London,E12000007,18.5
1998-02-01,South West,E12000009,20.2
1998-02-01,North East,E12000001,28
1998-02-01,North West,E12000002,22
1998-02-01,East Midlands,E12000004,20.9
1998-02-01,East of England,E12000006,19.6
1998-02-01,Yorkshire and The Humber,E12000003,23.5
1998-02-01,West Midlands Region,E12000005,22.4
1998-02-01,England and Wales,K04000001,20.7
1998-03-01,Wales,W92000004,22
1998-03-01,England,E92000001,20.8
1998-03-01,London,E12000007,18.7
1998-03-01,Yorkshire and The Humber,E12000003,23.3
1998-03-01,East Midlands,E12000004,21
1998-03-01,West Midlands Region,E12000005,22.4
1998-03-01,South East,E12000008,21.4
1998-03-01,South West,E12000009,20.4
1998-03-01,East of England,E12000006,19.8
1998-03-01,North East,E12000001,28.4
1998-03-01,North West,E12000002,22
1998-03-01,England and Wales,K04000001,20.8
1998-04-01,Wales,W92000004,22.1
1998-04-01,England,E92000001,21
1998-04-01,East Midlands,E12000004,21.1
1998-04-01,East of England,E12000006,20
1998-04-01,London,E12000007,19
1998-04-01,North East,E12000001,28.2
1998-04-01,South West,E12000009,20.6
1998-04-01,South East,E12000008,21.7
1998-04-01,West Midlands Region,E12000005,22.7
1998-04-01,Yorkshire and The Humber,E12000003,23.3
1998-04-01,North West,E12000002,22.3
1998-04-01,England and Wales,K04000001,21
1998-05-01,Wales,W92000004,22.2
1998-05-01,England,E92000001,21.1
1998-05-01,Yorkshire and The Humber,E12000003,23.4
1998-05-01,East of England,E12000006,20.2
1998-05-01,West Midlands Region,E12000005,22.7
1998-05-01,South East,E12000008,21.8
1998-05-01,North West,E12000002,22.5
1998-05-01,North East,E12000001,28.1
1998-05-01,South West,E12000009,20.8
1998-05-01,London,E12000007,18.9
1998-05-01,East Midlands,E12000004,21.3
1998-05-01,England and Wales,K04000001,21.1
1998-06-01,England,E92000001,21.1
1998-06-01,Wales,W92000004,22.1
